"LOT_REFCOMPL";"LOT_RELEASED_QTY";"LOT_REJECT_RELEASED_QTY";"FAC_REFERENCE";"KEY";"SCS_STEP_NUMBER";"TAS_REF";"SCS_SHORT_DESCR";"TAL_RELEASE_QTY";"TAL_REJECTED_QTY";"TAL_BEGIN_REAL_DATE";"TAL_END_REAL_DATE"
"OFA-1-085338-1";"0";"0";"A300CTR";"CONTROLER-A300CTR";"120";"OP_CTR+RAPPORT";"Opération CONTROLER";"0";"0";"";""
"OFA-1-085338-1";"0";"0";"A450LOG";"CONDITIONNER-A450LOG";"110";"OP_CONDITIONNER";"Opération CONDITIONNER";"0";"0";"";""
"OFA-1-085338-1";"0";"0";"A450MAN";"CONTROLER-A450MAN";"100";"OP_CONTROLER";"Opération CONTROLER";"0";"0";"";""
"OFA-1-085338-1";"0";"0";"A990RET";"TRIER CONTROLE LIBERATOIRE-A990RET";"90";"OP_TRIER";"Opération TRIER CONTROLE LIBERATOIRE";"0";"0";"";""
"OFA-1-085338-1";"0";"0";"A450MAN";"CONTROLE LIBERATOIRE-A450MAN";"80";"OP_CONTROLER";"Opération CONTROLE LIBERATOIRE";"0";"0";"";""
"OFA-1-085338-1";"0";"0";"A295LAV";"LAVER-A295LAV";"70";"OP_LAVER";"Opération LAVER";"0";"0";"";""
"OFA-1-085338-1";"0";"0";"A990RET";"TRIER-A990RET";"60";"OP_TRIER";"Opération TRIER";"0";"0";"";""
"OFA-1-085338-1";"0";"0";"A650HOR";"CONTROLER-A650HOR";"50";"OP_CONTROLER";"Opération CONTROLER";"0";"0";"";""
"OFA-1-085338-1";"0";"0";"A630HOR";"LAVER-A630HOR";"40";"OP_LAVER";"Opération LAVER";"0";"0";"";""
"OFA-1-085338-1";"0";"0";"A665HOR";"POLIR / TROVALISER-A665HOR";"30";"OP_POLIR";"Opération POLIR / TROVALISER";"0";"0";"";""
"OFA-1-085338-1";"0";"0";"A640HOR";"EBAVURER-A640HOR";"20";"OP_EBAVURER";"Opération EBAVURER";"0";"0";"";""
"OFA-1-085338-1";"0";"0";"A720HOR";"TOURNER-A720HOR";"10";"OP_TOURNER";"Opération TOURNER";"0";"0";"";""
"OFA-1-085337-1";"0";"0";"A300CTR";"CONTROLER-A300CTR";"120";"OP_CTR+RAPPORT";"Opération CONTROLER";"0";"0";"";""
"OFA-1-085337-1";"0";"0";"A450LOG";"CONDITIONNER-A450LOG";"110";"OP_CONDITIONNER";"Opération CONDITIONNER";"0";"0";"";""
"OFA-1-085337-1";"0";"0";"A450MAN";"CONTROLER-A450MAN";"100";"OP_CONTROLER";"Opération CONTROLER";"0";"0";"";""
"OFA-1-085337-1";"0";"0";"A990RET";"TRIER CONTROLE LIBERATOIRE-A990RET";"90";"OP_TRIER";"Opération TRIER CONTROLE LIBERATOIRE";"0";"0";"";""
"OFA-1-085337-1";"0";"0";"A450MAN";"CONTROLE LIBERATOIRE-A450MAN";"80";"OP_CONTROLER";"Opération CONTROLE LIBERATOIRE";"0";"0";"";""
"OFA-1-085337-1";"0";"0";"A295LAV";"LAVER-A295LAV";"70";"OP_LAVER";"Opération LAVER";"0";"0";"";""
"OFA-1-085337-1";"0";"0";"A990RET";"TRIER-A990RET";"60";"OP_TRIER";"Opération TRIER";"0";"0";"";""
"OFA-1-085337-1";"0";"0";"A650HOR";"CONTROLER-A650HOR";"50";"OP_CONTROLER";"Opération CONTROLER";"0";"0";"";""
"OFA-1-085337-1";"0";"0";"A630HOR";"LAVER-A630HOR";"40";"OP_LAVER";"Opération LAVER";"0";"0";"";""
"OFA-1-085337-1";"0";"0";"A665HOR";"POLIR / TROVALISER-A665HOR";"30";"OP_POLIR";"Opération POLIR / TROVALISER";"0";"0";"";""
"OFA-1-085337-1";"0";"0";"A640HOR";"EBAVURER-A640HOR";"20";"OP_EBAVURER";"Opération EBAVURER";"0";"0";"";""
"OFA-1-085337-1";"0";"0";"A720HOR";"TOURNER-A720HOR";"10";"OP_TOURNER";"Opération TOURNER";"0";"0";"";""
